 	roll-flat-internalmobile-internalmobile-ds45-fork.txt	flat-flat-internalmobile-internalmobile-ds45-fork.txt	roll-flat-normal-normal-ds45-fork.txt	flat-flat-normal-normal-ds45-fork.txt	flat-flat-internalmobile-internalmobile-fork-fork.txt	flat-flat-normal-normal-fork-fork.txt	
rightthumb0.9999	0.0833333	0.75	0.0416667	0.75	0	0	
rightthumb0.99999	0.166667	0.75	0.125	0.75	0	0	
rightthumb0.999999	0.208333	0.75	0.25	0.75	0	0	
rightindex0.9999	0.291667	0.75	0.5	0.75	0.2	0.333333	
rightindex0.99999	0.541667	0.75	0.708333	0.791667	0.366667	0.4	
rightindex0.999999	0.75	0.916667	0.875	0.833333	0.466667	0.533333	
rightmiddle0.9999	1	1	0.958333	1	0.6	0.566667	
rightmiddle0.99999	1	1	1	1	0.666667	0.6	
rightmiddle0.999999	1	1	1	1	0.8	0.666667	
rightring0.9999	1	1	1	0.875	0.466667	0.266667	
rightring0.99999	1	1	1	0.958333	0.666667	0.333333	
rightring0.999999	1	1	1	0.958333	0.8	0.533333	
rightlittle0.9999	0.875	0.958333	0.875	1	0.4	0.166667	
rightlittle0.99999	0.958333	1	0.958333	1	0.533333	0.2	
rightlittle0.999999	0.958333	1	1	1	0.533333	0.3	
leftthumb0.9999	0.416667	0.75	0.375	0.75	0	0	
leftthumb0.99999	0.416667	0.75	0.458333	0.75	0	0	
leftthumb0.999999	0.583333	0.791667	0.541667	0.75	0	0	
leftindex0.9999	0.625	0.791667	0.291667	0.791667	0.333333	0.333333	
leftindex0.99999	0.833333	0.791667	0.375	0.791667	0.333333	0.333333	
leftindex0.999999	0.958333	0.833333	0.5	0.791667	0.4	0.333333	
leftmiddle0.9999	1	1	1	0.958333	0.8	0.6	
leftmiddle0.99999	1	1	1	1	0.9	0.733333	
leftmiddle0.999999	1	1	1	1	0.966667	0.933333	
leftring0.9999	1	1	1	0.916667	0.733333	0.533333	
leftring0.99999	1	1	1	0.958333	0.9	0.633333	
leftring0.999999	1	1	1	0.958333	1	0.633333	
leftlittle0.9999	0.875	0.791667	0.875	0.833333	0.333333	0.333333	
leftlittle0.99999	0.958333	0.833333	1	0.958333	0.466667	0.466667	
leftlittle0.999999	1	0.875	1	0.958333	0.666667	0.533333	
	0	0	0	0	0	0	
