 	83_2014-02-19.10:39:14	84_2014-02-19.10:39:15	85_2014-02-19.10:39:15	86_2014-02-19.10:39:16	87_2014-02-19.10:39:15	
rightthumb0.999	0	0	0	0	0	
rightthumb0.9999	0	0	0	0	0	
rightthumb0.9	0	0	0	0	0	
rightthumb0.99	0	0	0	0	0	
rightthumb1	1	1	1	1	1	
rightindex0.999	0	0	0	0	0	
rightindex0.9999	0	0	0	0	0	
rightindex0.9	0	0	0	0	0	
rightindex0.99	0	0	0	0	0	
rightindex1	1	1	1	1	1	
rightmiddle0.999	0	0	0	0	0	
rightmiddle0.9999	0	0	0	0	0	
rightmiddle0.9	0	0	0	0	0	
rightmiddle0.99	0	0	0	0	0	
rightmiddle1	1	1	1	1	1	
rightring0.999	0	0	0	0	0	
rightring0.9999	0	0	0	0	0	
rightring0.9	0	0	0	0	0	
rightring0.99	0	0	0	0	0	
rightring1	1	1	1	1	1	
rightlittle0.999	0	0	0	0	0	
rightlittle0.9999	0	0	0	0	0	
rightlittle0.9	0	0	0	0	0	
rightlittle0.99	0	0	0	0	0	
rightlittle1	1	1	1	1	1	
leftthumb0.999	0	0	0	0	0	
leftthumb0.9999	0	0	0	0	0	
leftthumb0.9	0	0	0	0	0	
leftthumb0.99	0	0	0	0	0	
leftthumb1	1	1	1	1	1	
leftindex0.999	0	0	0	0	0	
leftindex0.9999	0	0	0	0	0	
leftindex0.9	0	0	0	0	0	
leftindex0.99	0	0	0	0	0	
leftindex1	1	1	1	1	1	
leftmiddle0.999	0	0	0	0	0	
leftmiddle0.9999	0	0	0	0	0	
leftmiddle0.9	0	0	0	0	0	
leftmiddle0.99	0	0	0	0	0	
leftmiddle1	1	1	1	1	1	
leftring0.999	0	0	0	0	0	
leftring0.9999	0	0	0	0	0	
leftring0.9	0	0	0	0	0	
leftring0.99	0	0	0	0	0	
leftring1	1	1	1	1	1	
leftlittle0.999	0	0	0	0	0	
leftlittle0.9999	0	0	0	0	0	
leftlittle0.9	0	0	0	0	0	
leftlittle0.99	0	0	0	0	0	
leftlittle1	1	1	1	1	1	
	0	0	0	0	0	
