 	83_2014-02-19.10:39:14	84_2014-02-19.10:39:15	85_2014-02-19.10:39:15	86_2014-02-19.10:39:16	87_2014-02-19.10:39:15	
leftindex	1	1	1	1	1	
leftlittle	1	1	1	1	1	
leftmiddle	1	1	1	1	1	
leftring	1	1	1	1	1	
leftthumb	1	1	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	1	1	1	
rightmiddle	1	1	1	1	1	
rightring	1	1	1	1	1	
rightthumb	1	1	1	1	1	
leftindex	1	1	1	1	1	
leftlittle	1	1	1	1	1	
leftmiddle	1	1	1	1	1	
leftring	1	1	1	1	1	
leftthumb	1	1	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	1	1	1	
rightmiddle	1	1	1	1	1	
rightring	1	1	1	1	1	
rightthumb	1	1	1	1	1	
leftindex	1	1	1	1	1	
leftlittle	1	1	1	1	1	
leftmiddle	1	1	1	1	1	
leftring	1	1	1	1	1	
leftthumb	1	1	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	1	1	1	
rightmiddle	1	1	1	1	1	
rightring	1	1	1	1	1	
rightthumb	1	1	1	1	1	
leftindex	1	1	1	1	1	
leftlittle	1	1	1	1	1	
leftmiddle	1	1	1	1	1	
leftring	1	1	1	1	1	
leftthumb	1	1	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	1	1	1	
rightmiddle	1	1	1	1	1	
rightring	1	1	1	1	1	
rightthumb	1	1	1	1	1	
