 	83_2014-02-19.10:39:14	84_2014-02-19.10:39:15	85_2014-02-19.10:39:15	86_2014-02-19.10:39:16	87_2014-02-19.10:39:15	
leftindex	1	1	1	1	1	
leftlittle	0.999175	0.999992	0.999998	0.999	0.999999	
leftmiddle	1	1	1	1	1	
leftring	1	1	1	1	0.999992	
leftthumb	1	0.999999	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	0.999999	0.999997	1	
rightmiddle	1	0.99999	1	1	1	
rightring	1	1	1	0.999998	0.999996	
rightthumb	1	1	1	1	1	
leftindex	1	1	1	1	1	
leftlittle	0.999175	0.998532	0.99	0.85322	0.999997	
leftmiddle	1	1	1	1	1	
leftring	1	1	1	0.999617	0.999993	
leftthumb	1	0.999917	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	1	1	0.999996	
rightmiddle	1	1	1	1	1	
rightring	1	1	1	1	1	
rightthumb	1	1	1	1	1	
leftindex	1	1	1	1	1	
leftlittle	1	0.978456	0.999879	0.318708	0.99999	
leftmiddle	1	1	1	1	1	
leftring	0.999968	0.99999	0.999988	1	1	
leftthumb	1	0.999974	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	0.999993	1	1	
rightmiddle	1	1	1	1	1	
rightring	1	0.999992	1	1	1	
rightthumb	1	1	1	1	1	
leftindex	1	1	1	0.9999	1	
leftlittle	0.999999	0.999536	0.999536	0.999978	0.99999	
leftmiddle	1	0.999996	1	0.999997	1	
leftring	1	1	0.999998	1	1	
leftthumb	1	0.999879	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	0.999997	1	0.999988	
rightmiddle	1	1	1	1	1	
rightring	1	0.999985	1	1	1	
rightthumb	1	1	1	1	1	
