 	83_2014-02-19.10:39:14	84_2014-02-19.10:39:15	85_2014-02-19.10:39:15	86_2014-02-19.10:39:16	87_2014-02-19.10:39:15	
leftindex	1	1	1	1	1	
leftlittle	0.996838	0.999992	0.999978	0.999968	0.99999	
leftmiddle	1	1	1	1	1	
leftring	1	1	1	1	1	
leftthumb	1	1	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	1	0.999999	0.999999	
rightmiddle	1	0.999974	1	1	1	
rightring	1	0.999997	1	0.999997	0.999932	
rightthumb	1	1	1	1	1	
leftindex	1	1	1	1	1	
leftlittle	0.995358	0.99739	0.968377	0.968377	1	
leftmiddle	1	1	1	1	1	
leftring	1	1	1	0.999995	0.999932	
leftthumb	1	0.999998	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	1	0.999998	0.999993	
rightmiddle	1	0.999999	1	1	1	
rightring	1	1	1	1	1	
rightthumb	1	1	1	1	1	
leftindex	1	1	1	1	1	
leftlittle	0.999999	0.991746	0.999917	0.683772	0.9999	
leftmiddle	1	0.999995	1	1	1	
leftring	0.999978	1	0.999993	1	1	
leftthumb	1	0.999999	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	1	1	1	
rightmiddle	1	0.999962	0.999999	1	1	
rightring	0.999536	0.999785	1	1	1	
rightthumb	1	1	1	1	1	
leftindex	1	1	1	0.999992	1	
leftlittle	0.999988	0.999175	0.999739	0.999617	0.999853	
leftmiddle	1	0.999998	1	0.999998	1	
leftring	1	1	0.999997	1	1	
leftthumb	1	0.999999	1	1	1	
rightindex	1	1	1	1	1	
rightlittle	1	1	0.999992	1	0.999917	
rightmiddle	1	0.999997	1	1	1	
rightring	1	0.999988	1	1	1	
rightthumb	1	1	1	1	1	
