 	11_2014-02-11.11:01:40	11_2014-02-11.11:08:23	12_2014-02-11.11:01:40	13_2014-02-11.11:01:40	14_2014-02-11.11:01:41	15_2014-02-11.11:01:41	16_2014-02-11.11:01:41	17_2014-02-11.11:01:41	18_2014-02-11.11:08:14	19_2014-02-11.11:08:14	20_2014-02-11.11:08:15	21_2014-02-11.11:32:14	22_2014-02-11.11:32:14	23_2014-02-11.11:32:14	24_2014-02-11.11:32:14	25_2014-02-11.11:32:14	26_2014-02-11.11:40:19	27_2014-02-11.11:40:19	28_2014-02-11.11:40:19	29_2014-02-11.11:40:19	30_2014-02-11.11:40:19	31_2014-02-11.11:54:19	32_2014-02-11.11:54:19	33_2014-02-11.11:54:19	34_2014-02-11.11:54:20	35_2014-02-11.11:54:20	36_2014-02-11.11:54:19	38_2014-02-11.12:04:11	39_2014-02-11.12:04:11	40_2014-02-11.12:06:55	41_2014-02-12.11:11:47	42_2014-02-12.11:11:47	43_2014-02-12.11:11:47	44_2014-02-12.11:11:47	45_2014-02-12.11:11:47	46_2014-02-12.11:11:47	47_2014-02-12.11:38:02	49_2014-02-12.11:38:02	50_2014-02-12.11:38:02	51_2014-02-12.11:38:02	52_2014-02-12.11:38:02	53_2014-02-12.11:38:02	54_2014-02-12.11:42:31	55_2014-02-12.11:42:31	56_2014-02-12.11:47:11	57_2014-02-12.11:47:11	58_2014-02-12.11:53:16	59_2014-02-12.11:53:16	60_2014-02-12.11:53:16	61_2014-02-12.11:53:16	
rightthumb1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightthumb0.9	0	0	0	0	0	0.04	0	0	0	0	0	0.06	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.04	0.02	0.02	0	0	0.02	0	0	0	0	0	0	0	0.04	0.08	0.02	0.02	0	0	0	0	0	0	
rightthumb0.99	0	0	0	0	0	0.06	0	0	0	0	0.02	0.18	0.1	0	0	0	0.06	0.04	0.04	0	0	0	0	0.04	0	0.02	0	0.16	0.04	0.02	0.08	0	0.14	0	0.02	0	0.02	0	0	0	0.1	0.18	0.08	0.16	0	0	0.02	0	0	0	
rightthumb0.999	0.02	0.02	0.04	0	0.1	0.12	0	0.08	0.02	0	0.04	0.3	0.54	0	0	0.02	0.06	0.08	0.06	0.02	0.04	0.02	0	0.14	0	0.1	0.04	0.34	0.14	0.02	0.28	0	0.2	0	0.32	0.06	0.02	0	0	0.02	0.44	0.26	0.36	0.44	0	0	0.12	0.08	0	0	
rightthumb0.9999	0.04	0.04	0.12	0	0.12	0.2	0	0.24	0.08	0	0.08	0.46	0.86	0.12	0	0.14	0.1	0.08	0.14	0.12	0.18	0.08	0.1	0.36	0.02	0.16	0.1	0.66	0.18	0.06	0.56	0.02	0.3	0	0.5	0.16	0.06	0	0.02	0.1	0.74	0.4	0.5	0.62	0	0.02	0.24	0.12	0	0	
rightindex1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightindex0.9	0.02	0.02	0.14	0.06	0	0.02	0	0	0.02	0	0	0.06	0.28	0.04	0.02	0.24	0.36	0.18	0.36	0.06	0.04	0.1	0.28	0	0	0.02	0	0	0.12	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	
rightindex0.99	0.06	0.06	0.24	0.1	0.06	0.16	0.04	0.04	0.2	0.06	0	0.24	0.5	0.24	0.2	0.7	0.68	0.5	0.74	0.22	0.2	0.36	0.66	0.16	0.08	0.38	0.22	0	0.64	0.02	0.04	0	0	0	0	0.04	0.02	0	0.02	0	0	0	0	0	0	0	0.04	0.06	0.04	0.04	
rightindex0.999	0.24	0.24	0.44	0.3	0.22	0.48	0.18	0.08	0.36	0.2	0.14	0.54	0.84	0.44	0.4	0.94	0.92	0.86	0.88	0.58	0.52	0.74	0.94	0.52	0.32	0.68	0.34	0.02	0.9	0.12	0.06	0.12	0.02	0.12	0	0.16	0.06	0.08	0.16	0	0.04	0	0.04	0.02	0.02	0.04	0.3	0.24	0.1	0.18	
rightindex0.9999	0.5	0.5	0.74	0.7	0.54	0.78	0.48	0.24	0.6	0.36	0.28	0.84	0.96	0.82	0.68	0.98	1	0.94	0.96	0.82	0.9	0.96	1	0.76	0.64	0.84	0.58	0.08	0.94	0.34	0.18	0.22	0.1	0.24	0.02	0.3	0.12	0.12	0.44	0.06	0.32	0.02	0.16	0.18	0.06	0.12	0.6	0.46	0.34	0.44	
